"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.0984628189768e-157,2.6377404087635,0.394,0.065,2.39025509409351e-153,"0","MAN1A1"
5.08955469896986e-157,3.02826548543774,0.308,0.032,1.10748710249584e-152,"0","SIGLEC10"
7.98824533426569e-157,2.67691329715459,0.347,0.045,1.73824218473621e-152,"0","ALOX5"
8.08031716667373e-157,1.91621796209588,0.635,0.221,1.7582770154682e-152,"0","CYFIP1"
4.83269544813975e-156,0.927834586543295,0.998,0.987,1.05159452951521e-151,"0","MT-CYB"
6.86029106533027e-156,1.60337001280476,0.817,0.383,1.49279933581587e-151,"0","TNFAIP3"
2.89406357259143e-155,3.74413542767398,0.324,0.04,6.29748233395894e-151,"0","SDS"
3.15232048184871e-155,2.39229604228648,0.451,0.094,6.85944936850278e-151,"0","EHBP1L1"
5.71196181912123e-155,3.44041027681874,0.276,0.023,1.24292289184078e-150,"0","LNCAROD"
5.15604173444905e-154,2.28817198052978,0.491,0.119,1.12195468141611e-149,"0","B3GNT5"
1.91951717053229e-153,2.57767045148471,0.453,0.102,4.17686936307826e-149,"0","ANKRD9"
2.28323106571664e-152,2.75016433652343,0.332,0.042,4.96831079899942e-148,"0","TLR2"
5.1006461305991e-152,2.88651041183164,0.349,0.05,1.10990059801836e-147,"0","ADGRE2"
1.04462327959057e-151,1.91411895680311,0.892,0.714,2.27310025638908e-147,"0","ATP1B3"
1.07827598714001e-151,3.33044374994279,0.314,0.037,2.34632854801666e-147,"0","CD40"
4.65433815395182e-151,0.897517180705741,0.998,0.979,1.01278398229992e-146,"0","MT-ND1"
5.51504903480336e-150,1.87469256550955,0.615,0.209,1.20007466997321e-145,"0","MAN2B1"
6.4442172990527e-150,1.7994176174628,0.694,0.281,1.40226168427387e-145,"0","LRRFIP1"
7.18442447362705e-150,3.22325450384844,0.335,0.047,1.56333076546125e-145,"0","IL1A"
1.1449562671146e-149,2.46536642516652,0.524,0.148,2.49142483724138e-145,"0","TET2"
6.62066460680102e-149,0.859599651833762,0.999,0.993,1.4406566184399e-144,"0","MT-CO2"
8.85445732191082e-149,1.9779220997481,0.532,0.142,1.92672991324779e-144,"0","NABP1"
2.60756815075612e-148,1.22721745938059,0.922,0.736,5.67406829604532e-144,"0","TSPO"
6.11842423313346e-148,2.30770482564775,0.364,0.055,1.33136911312984e-143,"0","CD93"
4.13930205355059e-147,1.80235012650442,0.539,0.148,9.00712126852608e-143,"0","MEF2C"
7.48138950654617e-147,2.68083769809337,0.396,0.075,1.62795035662445e-142,"0","FRMD4A"
2.13640322828189e-146,2.20076523881703,0.527,0.151,4.6488134247414e-142,"0","CPM"
2.3318601491909e-146,2.08143368498373,0.477,0.113,5.07412768463939e-142,"0","VSIR"
6.24905100530111e-146,0.989678025273041,0.998,0.982,1.35979349875352e-141,"0","MT-ND2"
7.39072306329631e-146,2.44738267238551,0.363,0.057,1.60822133857328e-141,"0","APBB1IP"
9.01311620808654e-146,2.76595127759258,0.326,0.044,1.96125408687963e-141,"0","ITGAM"
1.33043809833793e-145,2.69352866857276,0.326,0.043,2.89503330198334e-141,"0","IL4R"
2.23497346015538e-145,1.73519086520234,0.713,0.322,4.86330224929812e-141,"0","ELF1"
8.30444355905247e-145,2.63039860096965,0.322,0.042,1.80704691844982e-140,"0","OTULINL"
3.64420094403636e-144,0.633605905937487,1,0.989,7.92978125422311e-140,"0","RPL39"
8.03135868220235e-144,1.77087349715903,0.704,0.311,1.74762364924723e-139,"0","FNIP2"
1.88552892449737e-143,0.991501487200558,0.982,0.867,4.10291093970627e-139,"0","SDCBP"
2.30632705109882e-143,2.70910885955667,0.319,0.041,5.01856766319103e-139,"0","PTPN6"
2.70317700929183e-142,1.1150684381971,0.971,0.843,5.88211317221903e-138,"0","PNRC1"
3.82005304276197e-142,1.15326551065577,0.993,0.879,8.31243542105005e-138,"0","DUSP1"
1.02955061570645e-141,3.36573482317498,0.254,0.021,2.24030213977722e-137,"0","FCGR1B"
