"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","28/686","201/9382",0.139303482587065,1.9051680373642,3.64341888742009,0.000692190049330579,0.00428625376700859,0.00305460386141835,"CD14/BCL2A1/SPI1/CSF1R/JMJD1C/FCGR1A/REL/CD86/NR4A3/NFKB1/CXCL8/SLC45A3/NGFR/CD40/ITGAM/LYL1/FLT1/MMP9/PPARG/MITF/BCL2L1/CEBPA/ETV5/MEF2C/CEBPB/IGF1/PTK2/DUSP6",28
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","11/686","50/9382",0.22,3.00880466472303,4.00002039425816,0.000790168171270178,0.00480064436130184,0.00342118493221249,"ITGB2/IL18/IL1B/CXCL8/TLR2/CD40/IL10/TLR4/PECAM1/TNF/GYPC",11
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","16/686","93/9382",0.172043010752688,2.35292642402583,3.68262953747919,0.00105295554178329,0.00620714092712623,0.0044235263880795,"CD4/NFKB1/HLA-DQB1/HLA-DMB/IL4R/HLA-DPB1/MAPK13/HLA-DMA/HLA-DQA1/HLA-DRB5/STAT6/HLA-DRB1/NFKBIE/HLA-DRA/NFATC1/HLA-DPA1",16
NA,NA,"hsa04517","IgSF CAM signaling","37/686","299/9382",0.123745819397993,1.6923954483848,3.4174486814049,0.00106022593475759,0.00620714092712623,0.0044235263880795,"ITGB2/MAG/EPB41L3/MBP/LCP2/CNTN2/CD86/GLDN/ITGAX/GRB2/EPB41L2/CD84/LYN/MTSS1/TUBB4A/IQGAP1/PRKCB/ITGAM/DOK2/ARPC1B/PTPN6/PTPRD/UNC5B/ANK3/NECTIN1/VAV1/MAPK13/INPP5D/ITGA4/RAPGEF2/IL1RAPL1/SRGAP2/CADM2/CSK/PTK2/JAM3/PAK1",37
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","6/686","18/9382",0.333333333333333,4.55879494655005,4.24458637379082,0.00129448021990818,0.00744326126447204,0.00530444902142826,"NEU1/HEXA/MAN2B1/MANBA/FUCA1/ENGASE",6
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","15/686","88/9382",0.170454545454545,2.331201961304,3.52379642893604,0.00164468619111999,0.00929103427264272,0.00662126666046458,"CD55/VSIG4/ITGB2/C1QA/C1QC/C1QB/PLAUR/CFD/C5AR1/SERPINA1/THBD/C3AR1/ITGAX/ITGAM/F13A1",15
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","13/686","71/9382",0.183098591549296,2.50412680162608,3.57307655458224,0.00169429928607141,0.00940628224336195,0.00670339826431156,"ATP6V0B/ATP6V0C/HBEGF/NFKB1/CXCL8/LYN/TCIRG1/ATP6V0D1/MAPK13/ATP6V1B2/CSK/JAM3/PAK1",13
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","19/686","125/9382",0.152,2.07881049562682,3.41029460455742,0.00175140773666241,0.00941248289998297,0.00670781716965115,"CTSD/FCER1G/GNA13/NFKB1/PRKCB/SPTLC2/GNAI1/MAPK13/CERS2/PLD1/PRKCZ/RAC2/BCL2/GAB2/PPP2R5A/TNF/PLCB2/SPHK1/SGMS1",19
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","21/686","144/9382",0.145833333333333,1.99447278911565,3.37762967664222,0.00175387880123906,0.00941248289998297,0.00670781716965115,"CD14/C1QA/C1QC/C1QB/C5AR1/IL1B/C3AR1/LY96/MAP2K3/NFKB1/CXCL8/SCD/TRA2B/ADIPOR2/MAPK13/TLR4/TNF/CCND1/SREBF1/SIRT1/IL17RA",21
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","25/686","187/9382",0.133689839572193,1.82839369514039,3.21372404090379,0.00234301263741196,0.0123680339220763,0.00881409413211058,"HSP90AA1/CYBA/HSP90AB1/PYCARD/IL18/CYBB/IL1B/GPSM3/NFKB1/CXCL8/CTSB/GABARAPL1/NLRP3/NAIP/GSDMD/TRPM2/MAPK13/TLR4/BCL2/TNF/BCL2L1/PLCB2/P2RX7/IRF7/RIPK2",25
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","16/686","101/9382",0.158415841584158,2.166556014202,3.31051650826337,0.00256143856650327,0.0133029551357105,0.00948036685055538,"CYBB/IL1B/THBD/NFKB1/CXCL8/PRKCB/MAPK13/COL1A2/PRKCZ/BCL2/IL1A/TNF/CCND1/PLCB2/NFATC1/COL4A5",16
