"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
8.17166101600743e-15,-1.09235025148999,0.063,0.14,1.77815343708322e-10,"TMEM8B","Downregulated in Tumor"
8.93351583890652e-15,-1.14263200593281,0.06,0.135,1.94393304654606e-10,"FAM161A","Downregulated in Tumor"
9.56005484797031e-15,-1.34840635581884,0.04,0.105,2.08026793491834e-10,"HEMK1","Downregulated in Tumor"
9.78352184324153e-15,-1.17332880315573,0.059,0.134,2.12889435308936e-10,"BPNT1","Downregulated in Tumor"
9.92953084176438e-15,-1.18449132626097,0.057,0.131,2.16066591116793e-10,"ESYT1","Downregulated in Tumor"
1.03388770141184e-14,-1.33345434826839,0.042,0.108,2.24973963827217e-10,"ZNF445","Downregulated in Tumor"
1.08646663464231e-14,-1.27321611574296,0.046,0.115,2.36415139698166e-10,"RNF25","Downregulated in Tumor"
1.13611084198781e-14,-1.20851994158927,0.049,0.119,2.47217719216549e-10,"FBXO5","Downregulated in Tumor"
1.20034890650553e-14,-1.0488786849759,0.08,0.161,2.61195922055603e-10,"GXYLT1","Downregulated in Tumor"
1.24614751108155e-14,-1.00685522690235,0.08,0.162,2.71161698411345e-10,"MOGS","Downregulated in Tumor"
1.34672563916853e-14,-1.13445807448711,0.056,0.129,2.93047499083072e-10,"INPP5E","Downregulated in Tumor"
1.39338226287671e-14,-1.2510081669776,0.042,0.109,3.03199980401971e-10,"RDH5","Downregulated in Tumor"
1.63533545159989e-14,-1.10934169651235,0.075,0.154,3.55848994268135e-10,"ZNHIT6","Downregulated in Tumor"
1.65001554472341e-14,-1.34734214970871,0.041,0.107,3.59043382531815e-10,"NIFK-AS1","Downregulated in Tumor"
1.69122418553057e-14,-1.09035859314477,0.074,0.153,3.68010382771453e-10,"C12orf73","Downregulated in Tumor"
1.95254971497019e-14,-1.10597353535396,0.057,0.13,4.24874817977513e-10,"WDFY3-AS2","Downregulated in Tumor"
2.37029002946022e-14,-1.04271672573824,0.088,0.17,5.15775110410544e-10,"EPS15L1","Downregulated in Tumor"
